location,state,do,ph,co,bod,na,tc,year,wqi
"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.9,7.7,1385,27.5,7.7,72000,2014,50.2
"D/S JHARMAL NADI, PUNJAB",PUNJAB,5,7.3,1067,19.3,6.2,39533,2014,50.2
"U/S JHARMAL NADI, PUNJAB",PUNJAB,5.3,7.2,970,13.3,5.9,7133,2014,67.06
"GHAGGER AT MOONAK, PUNJAB",PUNJAB,4.9,7.7,1418,21,4.2,49500,2014,50.2
"D/S SARDULGARH, PUNJAB",PUNJAB,4.1,7.5,1015,23,6.1,57500,2014,50.2
"U/S SARDULGARH, PUNJAB",PUNJAB,4.8,7.4,854,17,4.7,38000,2014,50.2
"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",HARYANA,,8.2,,19.8,0,,2014,33.34
"GHAGGAR GHNAN2 AT CHANDARPUR SYPHON,  HARYANA",HARYANA,,7.9,,18.2,0,,2014,33.34
"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,4,6.8,370,3,0.8,9,2014,73.12
"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,7.8,7.8,376,1.3,0.4,17,2014,93.28
MARKANDA U/S KALA AMB,HIMACHAL PRADESH,7.7,7.7,354,1.3,0.3,22,2014,93.28
MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,7.6,7.9,344,1.6,0.4,22,2014,93.28
KALA AMB D/S MARKANDA RIVER,HARYANA,,7.2,,88,0,,2014,28.66
"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,4.4,7.1,694,41,1.2,224,2014,67.06
"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,5.9,8,401,0.9,0.7,15,2014,87.66
"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,6,7.2,106,0.8,0.4,15,2014,94
"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,5.6,7.9,326,1.1,0.8,4,2014,93.28
"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",RAJASTHAN,6.2,8.1,592,1,0.7,6,2014,93.28
"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,7.2,7.5,119,2.3,3.8,74,2014,88.38
