location,state,do,ph,co,bod,na,tc,year,wqi
NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,6.8,7.1,106,1,,137,2012,85.58
"BUDHABALANGA, D/S OF BARIPADA",ORISSA,7.8,7.9,213,1.5,0.35,15083,2012,71.34
BUDHABALANGA AT BALASORE D/S,ORISSA,7.7,8.1,312,2,0.75,32017,2012,70.8
"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,6.9,7.6,99,1.6,1.39,5395,2012,82.76
"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,7.3,8,230,1.6,0.69,4348,2012,82.4
NAGAVALLI AT JAYKAYPUR D/S,ORISSA,6.8,8.1,264,2.6,1.16,5142,2012,82.4
NAGAVALLI AT RAYAGADA D/S,ORISSA,7.2,8.1,272,3.1,1.46,4586,2012,77.72
RUSHIKULYA AT GANJAM U/S,ORISSA,8,8.3,312,1.4,0.73,4319,2012,82.04
RUSHIKULYA AT GANJAM D/S,ORISSA,8.2,8,19595,2,0.94,1116,2012,82.04
VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,7,8,199,1.8,1.11,3573,2012,82.58
VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,7.2,8.1,201,1.6,0.36,2324,2012,82.58
ARASALAR RIVER KARAIKAL REGION,PONDICHERRY,6.8,7.8,505,2.1,0.02,,2012,70.8
CORINGA RIVER,PONDICHERRY,6.5,7.9,11170,3,0.3,,2012,70.8
GAUTAMINANGODAVARI RIVER,PONDICHERRY,6.9,7.4,4990,3,0.37,,2012,70.8
GAUTAMINANGODAVARI RIVER,PONDICHERRY,6.8,8.1,1516,,0.28,,2012,47.4
MAHE RIVER,PONDICHERRY,6,7.3,44600,,0.23,,2012,47.4
PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,TAMILNADU,6.8,7.5,890,2.1,0.51,589,2012,82.04
TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,7.3,7.6,160,1.9,0.06,89,2012,88.2
"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",TAMILNADU,7,7.7,111,2.2,0.08,131,2012,88.38
"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",TAMILNADU,6.7,7.7,139,3.1,0.22,300,2012,83.7
TAMBIRAPARANI AT MURAPPANADU,TAMILNADU,7.2,7.2,288,2.1,0.14,91,2012,88.02
TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU,7,7.1,95,1.9,0.08,118,2012,88.38
TAMBIRAPARANI AT RAIL BDG. ,TAMILNADU,7,7.5,84,1.7,0.06,87,2012,88.38
TAMBIRAPARANI AT ARUMUGANERI,TAMILNADU,7.4,7,3101,15.6,0.15,174,2012,78.3
"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,7.2,7.3,510,2.9,0.08,123,2012,87.66
"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",TAMILNADU,7.1,7.4,88,1.8,0.07,90,2012,88.38
"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",TAMILNADU,7.2,6.9,338,3.8,0.07,104,2012,79.68
"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",TAMILNADU,6.7,7.6,162,3.3,0.16,249,2012,83.52
"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",TAMILNADU,6.7,7.6,182,4.1,0.15,251,2012,83.52
"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",TAMILNADU,0.2,7.2,2219,185.8,1.75,300000000,2012,19.3
GHAGGAR AT D/S OF SURAJPUR,HARYANA,6.8,8,414,3.1,0.88,,2012,66.12
GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,5.5,7.4,635,8.8,5.08,5500,2012,67.06
GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,5.5,7.4,1051,25,6.8,63000,2012,55.82
"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,5.3,7.3,636,9.9,5,10000,2012,67.06
"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,5.1,7.4,993,21.9,6.63,57750,2012,55.82
GHAGGAR AT D/S CHHATBIR,PUNJAB,5.3,7.5,632,13.5,5.08,34750,2012,55.82
GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,4.9,7.4,973,17.5,4.77,40667,2012,50.2
GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,4.3,7.5,1156,24.5,7.65,65000,2012,50.2
GHAGGAR AT D/S JHARMAL NADI,PUNJAB,4.8,7.4,904,26,8.6,55000,2012,50.2
GHAGGAR AT U/S JHARMAL NADI,PUNJAB,5.1,7.4,1110,16,14.85,12000,2012,55.82
GHAGGAR AT MOONAK,PUNJAB,5.3,7.4,1290,26.9,8.1,66250,2012,55.82
GHAGGAR AT D/S SARDULGARH,PUNJAB,4.9,7.4,990,27.8,6.78,40500,2012,50.2
GHAGGAR AT U/S SARDULGARH,PUNJAB,5.2,7.4,914,20.5,6.18,29500,2012,55.82
"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD",HARYANA,6.4,7.9,1808,21,5.9,,2012,61.44
GHAGGAR GHNAN2 AT CHANDARPUR ,HARYANA,6.6,7.8,1302,18,,,2012,58.64
GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL ,HARYANA,6.4,8,1286,19.5,,,2012,58.64
GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,4.8,7.5,280,2.4,0.72,4,2012,88.02
"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,7.7,7.4,344,1.2,0.37,19,2012,93.28
MARKANDA U/S KALA AMB,HIMACHAL PRADESH,7.3,7,310,1.4,0.38,22,2012,93.28
MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,7.1,7.7,303,1.5,0.34,23,2012,93.28
KALA AMB D/S MARKANDA RIVER,HARYANA,3.3,7.5,1630,185,1.75,,2012,30.54
"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,6.2,7.5,788,41.5,4.08,235,2012,78.3
"JAWAI AT JAWAI DAM, SIROHI",RAJASTHAN,6,8.3,468,1.4,0.43,16,2012,93.28
"KODRA DAM, MOUNT ABU",RAJASTHAN,5.9,7.3,234,1.5,0.36,12,2012,88.02
"BANDI AT HEMAWAS DAM, PAL",RAJASTHAN,6.4,8,527,1.2,0.35,21,2012,93.28
"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",RAJASTHAN,5.9,7.9,796,1.5,0.48,14,2012,87.66
"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,7.3,7.4,388,2.1,0.58,46,2012,93.28
BARAK RIVER AT SENAPATI DISTT,MANIPUR,8.5,7.5,166,2.7,,31,2012,91.02
"BARAK RIVER NR NONEY VILL., TAMENGLONG",MANIPUR,8.9,7,125,1.9,,45,2012,91.2
"CHAKPIAT CHAKPIKARONG, CHANDEL",MANIPUR,8,7.8,144,2.1,,51,2012,85.58
IMPHAL AT MAHABALI,MANIPUR,7.5,7.7,87,1.2,,54,2012,85.58
IMPHAL AT KOIRENGEI,MANIPUR,8.5,7.6,84,2,,16,2012,91.2
IMPHAL AT KYAMGEI,MANIPUR,8.4,7.5,103,1.9,,75,2012,85.58
IMPHAL AT MINUTHONG,MANIPUR,8.7,7.2,117,3.2,,52,2012,80.9
"IMPHAL AT KANGLA MOAT, IMPHAL WEST",MANIPUR,6.5,7.7,287,8.2,,114,2012,75.86
"IMPHAL AT SAMUROU, IMPHAL WEST",MANIPUR,8.6,7.5,130,4.6,,39,2012,86.52
"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,8.9,7.5,109,1.2,,33,2012,91.2
IRANG RIVER AT TAMENGLONG ,MANIPUR,9.8,8.4,246,1.2,,10,2012,90.84
IRIL AT PORAMPET,MANIPUR,7.6,7.5,147,1.3,,30,2012,91.2
IRIL AT LILONG,MANIPUR,8.7,7.6,202,1.2,,60,2012,85.4
"IRIL AT KANGLA SIPHAI, IMPHAL EAST",MANIPUR,8.4,7.4,177,2.4,,48,2012,91.02
"IRIL RIVER AT LILONG, UKHRUL",MANIPUR,8.7,7.6,203,2.5,,59,2012,85.4
"JIRI RIVER AT JIRIMUKH JIRIBAM, IMPHAL EAST",MANIPUR,8.2,7.4,120,1.9,,46,2012,91.2
"JIRI RIVER AT JIRI, IMPHAL EAST",MANIPUR,8,7.2,110,1.4,,80,2012,85.58
KHUGA RIVER (CHURACHANDPUR),MANIPUR,8.4,7.6,213,1.5,,20,2012,91.02
"KHUGA DAM ON KHUGA R, CHURACHANDPUR",MANIPUR,9.4,7.8,174,1,,16,2012,91.02
"KHUJAIROK, MOREH (CHANDEL)",MANIPUR,8.1,8,244,2.4,,73,2012,85.22
LOKCHAO RIVER AT BISHNUPUR,MANIPUR,8.1,8,162,1.8,,26,2012,91.02
MAHA RIVER AT CHANDEL,MANIPUR,8.7,7.6,163,2.6,,24,2012,91.02
"MANIPUR AT SEKMAIJAN, THOUBAL",MANIPUR,8.7,7.6,143,1.9,,58,2012,85.58
MANIPUR RIVER AT THOUBAL,MANIPUR,9.2,7.6,208,1.9,,30,2012,91.02
ETHAI BARRAGE ON MANIPUR R AT BISHNUPUR,MANIPUR,8.3,7.7,158,2,,48,2012,91.02
NAMBUL RIVER AT HUMP BRIDGE,MANIPUR,5.9,7.1,338,6.6,,522,2012,64.26
NAMBUL AT HEIRANGOITHONG,MANIPUR,4.3,7.4,269,12.3,,412,2012,64.62
"NAMBUL RIVER AT SAMUSANG,IMPHAL WEST",MANIPUR,8.2,7.1,109,3.3,,12,2012,86.52
"SINGDA DAM AT NAMBUL, IMPHAL WEST",MANIPUR,11.1,7.6,131,3.6,,32,2012,86.52
"NAMBUL AT NAOREMTHONG, IMPHAL WEST",MANIPUR,7.4,7.1,116,2.7,,55,2012,85.58
NAMBUL RIVER AT BISHNUPUR,MANIPUR,8.2,7.6,112,2.1,,31,2012,91.2
"SEKMAI R, KAKCHING (THOUBAL)",MANIPUR,8.5,7.5,169,3.6,,41,2012,86.34
"MAPITHEL DAM ON THOUBAL, THOUBAL",MANIPUR,11.4,7.2,128,1,,20,2012,91.2
"THOUBAL R AT PHADOM, THOUBAL",MANIPUR,8.9,7.6,221,1.7,,30,2012,91.02
"THOUBAL RIVER AT YAIRIPOK, THOUBAL",MANIPUR,9.3,7.6,193,2.3,,41,2012,91.02
"THOUBAL  AT SHONG KONG, UKHRUL",MANIPUR,9.1,7.3,217,3.9,,67,2012,80.72
"THOUBAL  AT YONGUL KONG, UKHRUL",MANIPUR,7.9,7.3,131,0.8,,38,2012,91.2
"THOUBAL AT LITAN, UKHRUL",MANIPUR,8.7,7.4,176,2.2,,36,2012,91.02
"WANGJING AT HEIROK, THOUBAL",MANIPUR,8.1,7.3,199,2.2,,56,2012,85.4
"WANGJING RIVER AT WANGJING, THOUBAL",MANIPUR,8.2,7.4,170,2.2,,39,2012,91.02
"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,7.7,7.2,95,1.8,2.67,50,2012,94
"BUGI AT DALU, SOUTH GARO HILLS",MEGHALAYA,7.6,7.2,92,2.5,2.41,45,2012,94
"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,9.9,7.2,65,1.5,2.31,55,2012,88.56
GANOL RIVER TURA,MEGHALAYA,7.6,7.4,93,2.1,2.89,408,2012,88.38
"KYRHUKHLA NR SUTNGA KHLIERIAT,JAINTIA HILLS ",MEGHALAYA,5.5,2.9,568,6.8,1.12,33,2012,61.8
"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,7.6,7,42,1.3,3.01,27,2012,94.18
"KYNSHI  AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,7.7,7.1,45,1.4,2.89,22,2012,94.18
"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,8.3,7,59,1.7,2.86,33,2012,94.18
LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,6.9,2.6,1072,3.2,1.17,21,2012,72.1
LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,7.7,6.3,250,2.1,3.88,326,2012,71.52
"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,8.8,7.3,37,1.5,1.62,35,2012,94.18
"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,7.3,7.3,72,2,1.65,36,2012,94.18
"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,7.5,7,38,1.7,2.2,40,2012,94.18
"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,7.8,7.1,44,1.6,2.62,33,2012,94.18
MYNTDU RIVER JOWAI,MEGHALAYA,7,7,100,2.4,3.03,2600,2012,82.76
"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,7.5,6.3,52,1.7,0.82,21,2012,77.68
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,6.4,6.9,61,2.6,3.88,538,2012,79.64
"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,7.5,7.1,39,1.4,2.88,22,2012,94.18
"RILANG AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,8,7.1,41,1.4,3.35,25,2012,94.18
SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,7.9,7.3,93,1.7,5.02,418,2012,88.38
"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,7.5,6.9,69,1.9,4.92,49,2012,90.88
"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,7.9,7.2,46,1.7,2.72,45,2012,94.18
"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,8,7.2,42,1.4,2.47,31,2012,94.18
"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,7.7,7.1,101,1.5,3.42,43,2012,94
UMKHEN AT WAHKDAIT,MEGHALAYA,7.2,7.1,49,1.6,2.86,40,2012,94.18
UMKHEN AT KSEHPONGDENG,MEGHALAYA,8.2,7.1,49,1.2,2.81,32,2012,94.18
"UMKHEN AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,7.8,7.1,58,1.5,2.97,43,2012,94.18
"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,3.9,7.1,235,16.9,16.61,23000,2012,44.94
"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,4.9,7.1,182,14.2,11.61,15500,2012,50.74
"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,2.7,7.1,281,35.4,14.84,62667,2012,33.7
"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,2.5,7.1,382,37.2,11.81,87167,2012,33.34
"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,8,7,48,1.4,3.8,41,2012,94.18
"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,8.4,7.1,48,1.2,3.08,45,2012,94.18
"UMSHYRPI AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,6.8,6.6,49,1.9,3.07,38,2012,84.28
"UMSHYRPI  AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,2.1,7,286,45.6,10.61,84500,2012,33.7
"UMSHYRPI AT UMSHYRPI BDG, EAST KHASI HILLS",MEGHALAYA,4,7.1,194,22.4,10.47,45250,2012,45.12
UMTREW AT BYRNIHAT EAST,MEGHALAYA,7.7,7.2,107,6.6,3.02,425,2012,79.02
"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,7.6,7.1,51,2,2.6,81,2012,88.56
"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,7.7,7.1,46,1.6,3.93,22,2012,94.18
"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,7.7,7.1,49,1.9,3.89,26,2012,94.18
TLAWNG UPSTREAM AIZAWL,MIZORAM,6.5,7.4,297,1,0.13,438,2012,88.02
TLAWNG DOWNSTREAM AIZAWL,MIZORAM,6.3,7.5,287,0.9,0.14,204,2012,88.02
TUIRIAL UPPER CATCHMENT,MIZORAM,6.5,7.2,375,1.1,0.17,625,2012,82.04
TUIRIAL LOWER CATCHMENT,MIZORAM,6.9,6.9,349,1.1,0.18,503,2012,78.74
GUMTI AT U/S SOUTH TRIPURA,TRIPURA,6.6,7.8,165,1.6,,316,2012,85.4
GUMTI AT D/S SOUTH TRIPURA,TRIPURA,6.4,8,155,3.9,0.5,516,2012,77.9
"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",TRIPURA,6.5,8,168,4.2,0.99,616,2012,77.9
DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,6.7,7.7,218,5,1.31,,2011,66.66
DAMANGANGA AT ZUARI CAUSE WAY BRIDGE,"DAMAN, DIU, DADRA NAGAR HAVELI",4.2,7.9,4909,18,7,,2011,50.2
DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,"DAMAN, DIU, DADRA NAGAR HAVELI",4.6,8,23576,158.8,6.88,46,2011,58.64
"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN","DAMAN, DIU, DADRA NAGAR HAVELI",4.8,7.8,65700,164,3.42,,2011,36.16
"DAMANGANGA AT VAPI WEIR,VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",6.7,8.5,235,,3.1,,2011,47.76
"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",6.7,8.3,262,,,,2011,44.96
"DAMANGANGA AT D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",6.8,7.8,227,,,,2011,44.96
"DAMANGANGA AT NAROLI BRIDGE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",6.8,8.5,249,,0.11,,2011,47.76
"DAMANGANGA AT VILLAGE NAMDHA, VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",4.2,8.2,2754,42,,,2011,47.4
DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,7.1,7.3,212,1.4,0.84,6,2011,93.82
DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT,5,8.3,12771,4.1,1.48,30,2011,77.36
BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,6.7,8,304,1.5,0.18,3550,2011,82.04
PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,5.8,7.7,1315,2.5,0.22,6800,2011,76.42
KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,5.9,7.6,36593,3.9,0.07,3200,2011,71.74
DHADAR AT KOTHADA,GUJARAT,7.6,7.7,1291,10,0.34,77,2011,78.3
AMBIKA AT BILIMORA,GUJARAT,6,7.7,18865,3.6,3.12,2450,2011,77.36
"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD",GUJARAT,4.3,8.4,605,6.5,1.68,15,2011,72.68
KOLAK AT PATALIA BDG.,GUJARAT,3.7,8.2,600,4.3,1.66,20,2011,71.74
MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,GUJARAT,4.6,7.2,729,4,0.33,2300,2011,66.12
"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",GUJARAT,6.2,8.4,2670,1.3,0.24,,2011,70.8
"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,6.8,6.5,43,1.1,0.42,178,2011,78.66
ZUARI AT PANCHAWADI,GOA,6.6,7,59,1.1,0.27,113,2011,88.56
"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,6,6.2,106,1.5,0.28,166,2011,71.88
"MANDOVI AT TONCA, MARCELA, GOA",GOA,5.9,6.6,516,1.1,0.18,169,2011,72.14
RIVER KALNA AT CHANDELNAN PERNEM,GOA,7.3,6.1,87,0.9,0.33,169,2011,71.88
RIVER ASSONORA AT ASSONORA,GOA,7.3,5.9,74,1.5,0.22,163,2011,72.06
RIVER BICHOLIM VARAZAN NAGAR,GOA,6.7,6.3,127,2,0.44,149,2011,71.88
"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.8,6.2,226,1.6,0.18,151,2011,71.52
RIVER KHANDEPAR AT OPA NAN PONDA,GOA,7.1,5.9,93,1.8,0.28,131,2011,71.88
"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.4,6.2,76,1.3,0.41,133,2011,71.88
"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,7.3,6.2,113,1.2,0.33,137,2011,71.88
RIVER MADAI AT DABOS NAN  VALPOI,GOA,7.3,5.9,100,1.3,0.27,173,2011,71.88
RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,6,5.9,273,1.8,0.31,171,2011,71.52
"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.1,6.5,201,2,0.43,149,2011,78.3
"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,6.2,6.3,245,1.8,0.31,135,2011,71.52
RIVER TALPONA AT CANACONA,GOA,7,6.5,75,0.9,0.22,166,2011,78.66
"VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.3,6,74,1.6,0.11,181,2011,72.06
"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETRO CHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,7.1,7.9,108,3.3,0.42,137,2011,83.7
"BHATSA AT D/S OF PISE DAM NR PISE VILL (ULHAS), MAHARASHTRA",MAHARASHTRA,7.1,7.7,111,4.4,0.32,,2011,66.84
"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,7,8,129,3.5,0.49,105,2011,83.7
"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,7,8,130,3.3,0.46,93,2011,83.7
"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,5.7,7.4,2323,6.3,1.47,541,2011,67.06
"KAN RIVER NEAR SAKRI WATER WORKS, SAKRI, DHULE",MAHARASHTRA,5.9,7.6,462,4.9,2.47,63,2011,77.36
"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,7,7.7,107,3.8,0.4,285,2011,83.7
KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,6.2,7.4,299,5.1,0.95,401,2011,83.34
"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,5.9,7.8,33259,6.8,1.61,228,2011,72.68
"KUNDALIKA RIVER AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",MAHARASHTRA,7.2,7.9,77,3.2,0.42,282,2011,83.7
MITHI RIVER,MAHARASHTRA,3.2,7.4,28018,46,1.67,1164,2011,55.82
"MUCHKUNDI RIVER AT WAKED NEAR M/S ASAHI INDIA GLASS LTD, WAKED, LANJA, RATNAGIRI",MAHARASHTRA,6.8,7.8,350,2.6,1.99,72,2011,87.66
"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,6.9,7.5,133,3.2,0.55,409,2011,83.7
"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,6.9,7.5,143,3.4,0.54,307,2011,83.7
"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, KHARPADA, KHALAPUR, RAIGAD",MAHARASHTRA,6.1,6.9,609,4.2,3.1,135,2011,79.68
"PATALGANGA RIVER AT VYAL PUMP HOUSE, VYAL, KHALAPUR, RAIGAD",MAHARASHTRA,6.8,7.4,129,3.2,0.86,133,2011,83.7
"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD",MAHARASHTRA,6.7,7.4,130,3.2,0.75,124,2011,83.7
"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR. RAIGAD",MAHARASHTRA,6.6,7.4,130,5,0.74,158,2011,83.7
"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, KHALAPUR, RAIGAD",MAHARASHTRA,6.7,7.5,120,3.6,0.73,226,2011,83.7
"PEHLAR DAM ON PEHLAR R. INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,7.1,7.9,139,3.2,0.45,147,2011,83.7
SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,6,7.4,13925,59.1,3.08,116,2011,78.3
"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,6.7,7.7,274,2.3,2.04,88,2011,88.02
"SAVITRI AT SHEDAV DOH,,RAIGAD",MAHARASHTRA,6.3,7.9,326,2.5,2.32,71,2011,87.66
SAVITRI RIVER AT DADLI BRIDGE,MAHARASHTRA,6.3,7.9,7392,2.4,6.41,71,2011,87.66
"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.3,7.7,12051,4.4,5.37,102,2011,82.98
"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,7,8.3,162,3.8,0.48,90,2011,83.52
"SURYA RIVER AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",MAHARASHTRA,7,8.3,212,3.6,0.44,90,2011,83.52
"SURYA AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR",MAHARASHTRA,7.1,8.3,227,3.2,0.48,124,2011,83.34
"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,6.8,8.2,314,4.3,0.45,69,2011,82.98
"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,6.8,7.8,151,3.4,0.5,740,2011,77.9
ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,7,7.8,123,3.4,0.44,100,2011,83.7
ULHAS ATJAMBHUL WATER WORKS.,MAHARASHTRA,6.9,7.8,139,3.3,0.76,169,2011,83.7
"VAITARNA NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE",MAHARASHTRA,6.8,8.2,313,4,0.49,99,2011,82.98
VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,6.7,7.8,215,2.5,0.83,51,2011,88.2
"VASHISTI AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL AT KHERDI, RATNAGIRI. ",MAHARASHTRA,6.7,7.8,204,2.5,0.77,68,2011,88.2
